,sentences,entities,search_text
15,The human gammaherpesvirus 4 transformed GM17735.,[],"['The', 'human', 'gammaherpesvirus', '4', 'transformed', 'GM17735.']"
16,blood is the origin of the GM17735.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'GM17735.']"
17,The Macaca mulatta polyomavirus 1 transformed SVOG-3e.,[],"['The', 'Macaca', 'mulatta', 'polyomavirus', '1', 'transformed', 'SVOG-3e.']"
18,The Transformed cell line includes GM17735.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM17735.']"
19,portion of blood is the origin of the GM17735.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'GM17735.']"
20,H1648 is a type of Cancer cell line.,"[Span[0:1]: ""H1648"" → CellLine (1.0000), Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]","['H1648', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
21,The donor of DA04195 has Type II diabetes.,[],"['The', 'donor', 'of', 'DA04195', 'has', 'Type', 'II', 'diabetes.']"
22,Human herpesvirus type 4 is the transformant in the DA04195 cell line.,[],"['Human', 'herpesvirus', 'type', '4', 'is', 'the', 'transformant', 'in', 'the', 'DA04195', 'cell', 'line.']"
23,The donor of FIB-PSE3 has Pseudoxanthoma Elasticum.,[],"['The', 'donor', 'of', 'FIB-PSE3', 'has', 'Pseudoxanthoma', 'Elasticum.']"
24,DA04195 is sourced from blood.,[],"['DA04195', 'is', 'sourced', 'from', 'blood.']"
25,The Epstein-Barr virus EBV transformed DA04195.,[],"['The', 'Epstein-Barr', 'virus', 'EBV', 'transformed', 'DA04195.']"
26,AG19641 is sourced from zone of skin of pelvis.,[],"['AG19641', 'is', 'sourced', 'from', 'zone', 'of', 'skin', 'of', 'pelvis.']"
27,The DA04195 cell line contains human gammaherpesvirus 4 as a transformant.,[],"['The', 'DA04195', 'cell', 'line', 'contains', 'human', 'gammaherpesvirus', '4', 'as', 'a', 'transformant.']"
28,DA04195 cell line belongs to the category of Transformed cell line.,[],"['DA04195', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
29,The Human papillomavirus - 16 transformed SKG-3b.,[],"['The', 'Human', 'papillomavirus', '-', '16', 'transformed', 'SKG-3b.']"
30,DA04195 cell line belongs to the category of Transformed cell line.,[],"['DA04195', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
31,portion of blood is the origin of the DA04195.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA04195.']"
32,GM04220 cell line belongs to the category of Finite cell line.,[],"['GM04220', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Finite', 'cell', 'line.']"
33,A patient of Manic Bipolar Affective Disorder contributed to GM07783.,[],"['A', 'patient', 'of', 'Manic', 'Bipolar', 'Affective', 'Disorder', 'contributed', 'to', 'GM07783.']"
34,The Epstein-Barr virus transformed GM07783.,[],"['The', 'Epstein-Barr', 'virus', 'transformed', 'GM07783.']"
35,The donor of HQ00481 has Huntington disease.,[],"['The', 'donor', 'of', 'HQ00481', 'has', 'Huntington', 'disease.']"
36,GM07783 is sourced from vertebrate blood.,[],"['GM07783', 'is', 'sourced', 'from', 'vertebrate', 'blood.']"
37,The donor of GM07783 has Manic Bipolar Affective Disorder.,[],"['The', 'donor', 'of', 'GM07783', 'has', 'Manic', 'Bipolar', 'Affective', 'Disorder.']"
38,uterine cervix is the origin of the  SKG3B.,[],"['uterine', 'cervix', 'is', 'the', 'origin', 'of', 'the', '', 'SKG3B.']"
39,The Human herpesvirus type 4 transformed GM07783.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'GM07783.']"
40,GM07783 was derived from portion of blood.,[],"['GM07783', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
41,The D98/AH2 Clone B cell line contains human papillomavirus 18 as a transformant.,"[Span[1:4]: ""D98/AH2"" → CellLine (0.9374)]","['The', 'D98/AH2', 'Clone', 'B', 'cell', 'line', 'contains', 'human', 'papillomavirus', '18', 'as', 'a', 'transformant.']"
42,GM07783 is a type of Transformed cell line.,[],"['GM07783', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
43,GM07783 comes from a patient with Manic Bipolar Affective Disorder.,[],"['GM07783', 'comes', 'from', 'a', 'patient', 'with', 'Manic', 'Bipolar', 'Affective', 'Disorder.']"
44,SKN-AS cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""SKN-AS"" → CellLine (1.0000), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['SKN-AS', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
45,GM05748 comes from a patient with Farber Lipogranulomatosis.,[],"['GM05748', 'comes', 'from', 'a', 'patient', 'with', 'Farber', 'Lipogranulomatosis.']"
46,GM05748 cell line belongs to the category of Transformed cell line.,[],"['GM05748', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
47,A patient of Familial dysautonomia contributed to GM16184.,[],"['A', 'patient', 'of', 'Familial', 'dysautonomia', 'contributed', 'to', 'GM16184.']"
48,The donor of GM05748 has Farber disease.,[],"['The', 'donor', 'of', 'GM05748', 'has', 'Farber', 'disease.']"
49,GM05748 is sourced from blood.,[],"['GM05748', 'is', 'sourced', 'from', 'blood.']"
50," LNZ-308 comes from a patient with Astrocytoma, NOS.",[],"['', 'LNZ-308', 'comes', 'from', 'a', 'patient', 'with', 'Astrocytoma,', 'NOS.']"
51,GM05748 is sourced from blood.,[],"['GM05748', 'is', 'sourced', 'from', 'blood.']"
52,A patient of Farber Lipogranulomatosis contributed to GM05748.,[],"['A', 'patient', 'of', 'Farber', 'Lipogranulomatosis', 'contributed', 'to', 'GM05748.']"
53,skin of arm is the origin of the XP13CA.,[],"['skin', 'of', 'arm', 'is', 'the', 'origin', 'of', 'the', 'XP13CA.']"
54,The Human herpesvirus 4 transformed GM05748.,[],"['The', 'Human', 'herpesvirus', '4', 'transformed', 'GM05748.']"
55,A patient of Farber disease contributed to GM05748.,[],"['A', 'patient', 'of', 'Farber', 'disease', 'contributed', 'to', 'GM05748.']"
56,The KB-CP20 cell line contains Human papilloma virus type 18 as a transformant.,"[Span[1:2]: ""KB-CP20"" → CellLine (0.9999)]","['The', 'KB-CP20', 'cell', 'line', 'contains', 'Human', 'papilloma', 'virus', 'type', '18', 'as', 'a', 'transformant.']"
57,The Transformed cell line includes GM05748.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM05748.']"
58,The GM05748 cell line contains Human herpesvirus type 4 as a transformant.,[],"['The', 'GM05748', 'cell', 'line', 'contains', 'Human', 'herpesvirus', 'type', '4', 'as', 'a', 'transformant.']"
59,The Cancer cell line includes  H-417.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""H-417"" → CellLine (1.0000)]","['The', 'Cancer', 'cell', 'line', 'includes', '', 'H-417.']"
60,A patient of Morbid Obesity contributed to GM14280.,[],"['A', 'patient', 'of', 'Morbid', 'Obesity', 'contributed', 'to', 'GM14280.']"
61,The Epstein Barr virus transformed GM14280.,[],"['The', 'Epstein', 'Barr', 'virus', 'transformed', 'GM14280.']"
62,RMUG-S comes from a patient with Ovarian Mucinous Cystadenocarcinoma.,[],"['RMUG-S', 'comes', 'from', 'a', 'patient', 'with', 'Ovarian', 'Mucinous', 'Cystadenocarcinoma.']"
63,GM14280 was derived from blood.,[],"['GM14280', 'was', 'derived', 'from', 'blood.']"
64,Human herpesvirus 4 is the transformant in the GM14280 cell line.,[],"['Human', 'herpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'GM14280', 'cell', 'line.']"
65,pleural effusion is the origin of the KHM1B.,[],"['pleural', 'effusion', 'is', 'the', 'origin', 'of', 'the', 'KHM1B.']"
66,Human herpesvirus 4 (Epstein-Barr virus) is the transformant in the GM14280 cell line.,[],"['Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'is', 'the', 'transformant', 'in', 'the', 'GM14280', 'cell', 'line.']"
67,GM14280 comes from a patient with Morbid Obesity.,[],"['GM14280', 'comes', 'from', 'a', 'patient', 'with', 'Morbid', 'Obesity.']"
68,human papillomavirus type 16 HPV 16 is the transformant in the SKG-IIIb cell line.,"[Span[11:12]: ""SKG-IIIb"" → CellLine (0.9998)]","['human', 'papillomavirus', 'type', '16', 'HPV', '16', 'is', 'the', 'transformant', 'in', 'the', 'SKG-IIIb', 'cell', 'line.']"
69,GM14280 is a type of Transformed cell line.,[],"['GM14280', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
70,The Human herpesvirus type 4 transformed GM14280.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'GM14280.']"
71,The Cancer cell line includes NCI-H60.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""NCI-H60"" → CellLine (1.0000)]","['The', 'Cancer', 'cell', 'line', 'includes', 'NCI-H60.']"
72,A patient of Hypomanic Mood contributed to GM07209.,[],"['A', 'patient', 'of', 'Hypomanic', 'Mood', 'contributed', 'to', 'GM07209.']"
73,fibroblast is the cell type for GM07209.,[],"['fibroblast', 'is', 'the', 'cell', 'type', 'for', 'GM07209.']"
74,A patient of Bernard-Soulier syndrome contributed to GM10552.,[],"['A', 'patient', 'of', 'Bernard-Soulier', 'syndrome', 'contributed', 'to', 'GM10552.']"
75,fibroblast is the cell type for GM07209.,[],"['fibroblast', 'is', 'the', 'cell', 'type', 'for', 'GM07209.']"
76,GM07209 is a type of Finite cell line.,[],"['GM07209', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
77, GM1631 is skin fibroblast.,[],"['', 'GM1631', 'is', 'skin', 'fibroblast.']"
78,GM07209 cell line belongs to the category of Finite cell line.,[],"['GM07209', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Finite', 'cell', 'line.']"
79,GM07209 comes from a patient with Hypomania.,[],"['GM07209', 'comes', 'from', 'a', 'patient', 'with', 'Hypomania.']"
80,GM19173 is a type of Transformed cell line.,[],"['GM19173', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
81,A patient of Other Prostate Carcinoma contributed to  AI-LNCaP.,[],"['A', 'patient', 'of', 'Other', 'Prostate', 'Carcinoma', 'contributed', 'to', '', 'AI-LNCaP.']"
82,left supraclavicular lymph node is the origin of the  AI-LNCaP.,[],"['left', 'supraclavicular', 'lymph', 'node', 'is', 'the', 'origin', 'of', 'the', '', 'AI-LNCaP.']"
83,A patient of Type 2 Diabetes Mellitus contributed to DA01611.,[],"['A', 'patient', 'of', 'Type', '2', 'Diabetes', 'Mellitus', 'contributed', 'to', 'DA01611.']"
84, AI-LNCaP is sourced from left supraclavicular lymph node.,[],"['', 'AI-LNCaP', 'is', 'sourced', 'from', 'left', 'supraclavicular', 'lymph', 'node.']"
85, Androgen-Independent LNCaP comes from a patient with Cancer of Prostate.,[],"['', 'Androgen-Independent', 'LNCaP', 'comes', 'from', 'a', 'patient', 'with', 'Cancer', 'of', 'Prostate.']"
86,portion of blood is the origin of the GM05348.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'GM05348.']"
87,AI LNCaP is a type of Cancer cell line.,"[Span[1:2]: ""LNCaP"" → CellLine (0.9992), Span[6:9]: ""Cancer cell line"" → CellLine (0.9999)]","['AI', 'LNCaP', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
88,left supraclavicular lymph node is the origin of the  Androgen-Independent LNCaP.,"[Span[10:11]: ""LNCaP"" → CellLine (0.7387)]","['left', 'supraclavicular', 'lymph', 'node', 'is', 'the', 'origin', 'of', 'the', '', 'Androgen-Independent', 'LNCaP.']"
89,80T is a type of Finite cell line.,"[Span[0:1]: ""80T"" → CellLine (0.9984)]","['80T', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
90,A patient of Parkinson Disease contributed to ND06785.,[],"['A', 'patient', 'of', 'Parkinson', 'Disease', 'contributed', 'to', 'ND06785.']"
91,blood is the origin of the ND06785.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'ND06785.']"
92,GM14280 comes from a patient with Morbid Obesity.,[],"['GM14280', 'comes', 'from', 'a', 'patient', 'with', 'Morbid', 'Obesity.']"
93,ND06785 was derived from portion of blood.,[],"['ND06785', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
94,The donor of ND06785 has Parkinson Disease.,[],"['The', 'donor', 'of', 'ND06785', 'has', 'Parkinson', 'Disease.']"
95,future telencephalon is the origin of the  F3-WT.,[],"['future', 'telencephalon', 'is', 'the', 'origin', 'of', 'the', '', 'F3-WT.']"
96,The Human herpesvirus 4 (Epstein-Barr virus) transformed ND06785.,[],"['The', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'transformed', 'ND06785.']"
97,A patient of Parkinson's disease contributed to ND06785.,[],"['A', 'patient', 'of', ""Parkinson's"", 'disease', 'contributed', 'to', 'ND06785.']"
98,Polyomavirus maccacae 1 is the transformant in the  AG06096 cell line.,[],"['Polyomavirus', 'maccacae', '1', 'is', 'the', 'transformant', 'in', 'the', '', 'AG06096', 'cell', 'line.']"
99,The Transformed cell line includes ND06785.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'ND06785.']"
100,ND06785 comes from a patient with Parkinson Disease.,[],"['ND06785', 'comes', 'from', 'a', 'patient', 'with', 'Parkinson', 'Disease.']"
101,U87MG/DDP cell line belongs to the category of Cancer cell line.,"[Span[10:13]: ""Cancer cell line"" → CellLine (0.9999)]","['U87MG/DDP', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
102,JHOC-8 comes from a patient with Ovarian Clear Cell Adenocarcinoma.,[],"['JHOC-8', 'comes', 'from', 'a', 'patient', 'with', 'Ovarian', 'Clear', 'Cell', 'Adenocarcinoma.']"
103,The Cancer cell line includes JHOC8.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""JHOC8"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', 'JHOC8.']"
104,GM03111 comes from a patient with Wolman disease.,[],"['GM03111', 'comes', 'from', 'a', 'patient', 'with', 'Wolman', 'disease.']"
105,A patient of Clear cell adenocarcinoma of the ovary contributed to JHOC8.,[],"['A', 'patient', 'of', 'Clear', 'cell', 'adenocarcinoma', 'of', 'the', 'ovary', 'contributed', 'to', 'JHOC8.']"
106,The Cancer cell line includes JHOC8.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""JHOC8"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', 'JHOC8.']"
107,A patient of Small cell lung cancer contributed to NCI-H60.,"[Span[9:10]: ""NCI-H60"" → CellLine (0.9983)]","['A', 'patient', 'of', 'Small', 'cell', 'lung', 'cancer', 'contributed', 'to', 'NCI-H60.']"
108,female organism genitalia gonada is the origin of the JHOC-8.,[],"['female', 'organism', 'genitalia', 'gonada', 'is', 'the', 'origin', 'of', 'the', 'JHOC-8.']"
109,The donor of JHOC-8 has Ovarian Clear Cell Adenocarcinoma.,[],"['The', 'donor', 'of', 'JHOC-8', 'has', 'Ovarian', 'Clear', 'Cell', 'Adenocarcinoma.']"
110,blood is the origin of the DA04992.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'DA04992.']"
111,JHOC-8 is a type of Cancer cell line.,"[Span[0:1]: ""JHOC-8"" → CellLine (0.9997), Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]","['JHOC-8', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
112,JHOC-8 is sourced from female organism reproductive system gonada.,[],"['JHOC-8', 'is', 'sourced', 'from', 'female', 'organism', 'reproductive', 'system', 'gonada.']"
113,ND13527 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""ND13527"" → CellLine (0.9889)]","['ND13527', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
114,A patient of Lung Adenocarcinoma contributed to  HCC0078.,[],"['A', 'patient', 'of', 'Lung', 'Adenocarcinoma', 'contributed', 'to', '', 'HCC0078.']"
115, HCC0078 cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""HCC0078"" → CellLine (0.9999), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['', 'HCC0078', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
116,The donor of KB-CP20 has Human Papillomavirus-Related Cervical Adenocarcinoma.,[],"['The', 'donor', 'of', 'KB-CP20', 'has', 'Human', 'Papillomavirus-Related', 'Cervical', 'Adenocarcinoma.']"
117,pleural effusion is the origin of the HCC78.,"[Span[7:8]: ""HCC78"" → CellLine (0.9988)]","['pleural', 'effusion', 'is', 'the', 'origin', 'of', 'the', 'HCC78.']"
118,HCC-78 cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""HCC-78"" → CellLine (1.0000), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['HCC-78', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
119,GM12458 is sourced from blood.,[],"['GM12458', 'is', 'sourced', 'from', 'blood.']"
120,HCC-78 cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""HCC-78"" → CellLine (1.0000), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['HCC-78', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
121,HCC78 is sourced from pleural effusion.,"[Span[0:1]: ""HCC78"" → CellLine (0.9996)]","['HCC78', 'is', 'sourced', 'from', 'pleural', 'effusion.']"
122,The Transformed cell line includes GM13915.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM13915.']"
123,Hs 835.T comes from a patient with Renal Cell Adenocarcinoma.,[],"['Hs', '835.T', 'comes', 'from', 'a', 'patient', 'with', 'Renal', 'Cell', 'Adenocarcinoma.']"
124,Hs 835.T is a type of Cancer cell line.,"[Span[0:2]: ""Hs 835.T"" → CellLine (0.9998), Span[6:9]: ""Cancer cell line"" → CellLine (0.9999)]","['Hs', '835.T', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
125,The donor of MR6 has HPVA Cervical Adenocarcinoma.,[],"['The', 'donor', 'of', 'MR6', 'has', 'HPVA', 'Cervical', 'Adenocarcinoma.']"
126,A patient of Renal cell carcinoma contributed to Hs835T.,[],"['A', 'patient', 'of', 'Renal', 'cell', 'carcinoma', 'contributed', 'to', 'Hs835T.']"
127,The Cancer cell line includes Hs 835.T.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:7]: ""Hs 835.T"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', 'Hs', '835.T.']"
128,A patient of Neuroblastoma of the Adrenal Gland contributed to TGW.,[],"['A', 'patient', 'of', 'Neuroblastoma', 'of', 'the', 'Adrenal', 'Gland', 'contributed', 'to', 'TGW.']"
129,Hs835T is sourced from kidney.,[],"['Hs835T', 'is', 'sourced', 'from', 'kidney.']"
130,Hs 835.T cell line belongs to the category of Cancer cell line.,"[Span[0:2]: ""Hs 835.T"" → CellLine (0.9999), Span[9:12]: ""Cancer cell line"" → CellLine (0.9999)]","['Hs', '835.T', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
131,SVOG3e was derived from membrana granulosa of ovarian follicle.,[],"['SVOG3e', 'was', 'derived', 'from', 'membrana', 'granulosa', 'of', 'ovarian', 'follicle.']"
132,Hs 835.T cell line belongs to the category of Cancer cell line.,"[Span[0:2]: ""Hs 835.T"" → CellLine (0.9999), Span[9:12]: ""Cancer cell line"" → CellLine (0.9999)]","['Hs', '835.T', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
133,Hs 835.T is sourced from kidney.,[],"['Hs', '835.T', 'is', 'sourced', 'from', 'kidney.']"
134,ND09564 is a type of Transformed cell line.,[],"['ND09564', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
135,The donor of TE 149.T has Neoplastic Disease.,[],"['The', 'donor', 'of', 'TE', '149.T', 'has', 'Neoplastic', 'Disease.']"
136,TE 149.T cell line belongs to the category of Cancer cell line.,"[Span[0:2]: ""TE 149.T"" → CellLine (0.9997), Span[9:12]: ""Cancer cell line"" → CellLine (0.9999)]","['TE', '149.T', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
137,The donor of KOC-7C has Ovarian Clear Cell Adenocarcinoma.,[],"['The', 'donor', 'of', 'KOC-7C', 'has', 'Ovarian', 'Clear', 'Cell', 'Adenocarcinoma.']"
138,TE 149.T cell line belongs to the category of Cancer cell line.,"[Span[0:2]: ""TE 149.T"" → CellLine (0.9997), Span[9:12]: ""Cancer cell line"" → CellLine (0.9999)]","['TE', '149.T', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
139,A patient of neoplasm contributed to TE 149.T.,[],"['A', 'patient', 'of', 'neoplasm', 'contributed', 'to', 'TE', '149.T.']"
140,DA00954 cell line belongs to the category of Transformed cell line.,[],"['DA00954', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
141,A patient of Adult Onset Diabetes contributed to DA01988.,[],"['A', 'patient', 'of', 'Adult', 'Onset', 'Diabetes', 'contributed', 'to', 'DA01988.']"
142,vertebrate blood is the origin of the DA01988.,[],"['vertebrate', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA01988.']"
143,A patient of Human Papilloma Virus Related Cervical Squamous Cell Carcinoma contributed to  SKG3B.,[],"['A', 'patient', 'of', 'Human', 'Papilloma', 'Virus', 'Related', 'Cervical', 'Squamous', 'Cell', 'Carcinoma', 'contributed', 'to', '', 'SKG3B.']"
144,DA01988 is sourced from blood.,[],"['DA01988', 'is', 'sourced', 'from', 'blood.']"
145,A patient of Adult-Onset Diabetes contributed to DA01988.,[],"['A', 'patient', 'of', 'Adult-Onset', 'Diabetes', 'contributed', 'to', 'DA01988.']"
146,GM09494 is sourced from late embryo.,[],"['GM09494', 'is', 'sourced', 'from', 'late', 'embryo.']"
147,human gammaherpesvirus 4 is the transformant in the DA01988 cell line.,"[Span[8:9]: ""DA01988"" → CellLine (0.9975)]","['human', 'gammaherpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'DA01988', 'cell', 'line.']"
148,The Transformed cell line includes DA01988.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA01988.']"
149,The SVOG3e cell line contains Simian virus 40 as a transformant.,[],"['The', 'SVOG3e', 'cell', 'line', 'contains', 'Simian', 'virus', '40', 'as', 'a', 'transformant.']"
150,DA01988 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""DA01988"" → CellLine (0.9973)]","['DA01988', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
151,The donor of DA01988 has Adult-Onset Diabetes.,[],"['The', 'donor', 'of', 'DA01988', 'has', 'Adult-Onset', 'Diabetes.']"
152,The Finite cell line includes GM03111.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM03111.']"
153,GM16407 was derived from portion of blood.,[],"['GM16407', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
154,The GM16407 cell line contains Epstein-Barr virus EBV as a transformant.,[],"['The', 'GM16407', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'EBV', 'as', 'a', 'transformant.']"
155,skin of body is the origin of the GM05169.,[],"['skin', 'of', 'body', 'is', 'the', 'origin', 'of', 'the', 'GM05169.']"
156,The GM16407 cell line contains Human herpesvirus 4 (Epstein-Barr virus) as a transformant.,[],"['The', 'GM16407', 'cell', 'line', 'contains', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'as', 'a', 'transformant.']"
157,GM16407 is a type of Transformed cell line.,[],"['GM16407', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
158,The D98/AH2 clone B cell line contains Human papilloma virus type 18 as a transformant.,[],"['The', 'D98/AH2', 'clone', 'B', 'cell', 'line', 'contains', 'Human', 'papilloma', 'virus', 'type', '18', 'as', 'a', 'transformant.']"
159,GM16407 cell line belongs to the category of Transformed cell line.,[],"['GM16407', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
160,The GM16407 cell line contains Human herpesvirus 4 (Epstein-Barr virus) as a transformant.,[],"['The', 'GM16407', 'cell', 'line', 'contains', 'Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'as', 'a', 'transformant.']"
161,The Cancer cell line includes SW480.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""SW480"" → CellLine (1.0000)]","['The', 'Cancer', 'cell', 'line', 'includes', 'SW480.']"
162,A patient of NIDDM contributed to DA04651.,[],"['A', 'patient', 'of', 'NIDDM', 'contributed', 'to', 'DA04651.']"
163,The Transformed cell line includes DA04651.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA04651.']"
164,A patient of Parkinson's Disease contributed to ND02712.,[],"['A', 'patient', 'of', ""Parkinson's"", 'Disease', 'contributed', 'to', 'ND02712.']"
165,DA04651 is sourced from portion of blood.,[],"['DA04651', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
